lugar,lat,lon,tipo,frecuencia,frecuencia_no_editorial,contextos,personas_asociadas
Alemania,51.1638175,10.4478313,pais,27,26,"DRESDE. La ópera nueva de Reissiger anunciada ya hace tiempo y esperada con gran | Una obertura bellísima sirve de introduccion á esta ópera, que será puesta en es | ¿Y cree el Instituto que solo estas ventajas ofrecen los ensayos líricos? ¿Cree  | En Alemania, en Inglaterra, en Italia, donde el mis- --mo Rossini ha dirigido la | Preguntadlo á la Europa entera; preguntadlo á todos los círculos musicales y aca",Adèle de Foix; Beethoven; Besta; Carlos - Maria Weber; Clementi; Guillermo; Haydn; Kalech; Knecht; Kulbech; Lablache; M. Gansbacher; Meyerbeer; Mozart; Reissiger; Ritter; Rossini; Schubert; Scombrum; Sra. Maric - Lalande; T. Roberto Blum; Vogler; Weber; Winter
Museo Lírico (Madrid),40.4168,-3.7035,sala,26,26,"*.* En la misma *Crónica* damos noticia de la señora *Montenegro*, muy conocida  | Yo por mi parte pienso poner en práctica este pensamiento, por lo que respecta á | *.* Siguen en actividad los trabajos en arreglo del teatro del Museo Lírico; se  | Esta cátedra la constituirán por ahora los ensayos que se verifiquen para las fu | Los demas pormenores relativos á la enseñanza estarán de manifiesto en la secret",Abenam; Angel Ruso; Antonio Arcos; D. Domingo; D. Santos Lopez Pelegrin; Donizzetti; Duque; Eduardo Ficher; Emilio Prudent; Espronceda; Ficher; Fr. Gerundio; Giacomo Meyerbeer; Gonzalez; Gorostiza; Guillen; Jardin; Joaquin Espin; Larrañaga; M. S. F; M. Soriano Fuertes; Maestro Donizetti; Montenegro *; Paccini; Paganini; Paulina Garcia; Paulina Garcia - Viardot; Paulina Garcia-Viardot; Paulina García; Príncipe; Retes; Rojas; Sacrista; Vallabriga; Villar; Villargas; Ville; Villergas; Villoslada; Wa demosa; Waldemosa; Zamácola
Londres,51.5074456,-0.1277653,ciudad,25,20,"El Sr. Larrú, Constructor de pianos de esta capital, jóven de grandes esperanzas | Las harpas construidas últimamente por don Tiburcio Martinez tienen sobre las co | *.* * Leemos en un papel: «El 21 de octubre falleció de apoplegía, la viuda del  | Todas las obras citadas, estan traducidas en Aleman y publicadas por Bonn, almac | Henrique Vieuxtemps acaba de dar dos conciertos, donde ha escitado un entusiasmo",Bellini; Biagam; García; Henrique Vieuxtemps; Isabel Colbran; Joaquin Rossini; Larrú; Malibran; Maria; Martin; Montes; Moscheles; Mr. Dormoy; Mr. Erad; Mr. Laporte; Mr. Scribe; Paulina; Paulina Garcia; Poggi; Ronconi; Ronzi; SZCZEPANOWSKI; don Tiburcio Martinez; la Frezzolini; señora Fodor; tenor Ronzi
Francia,46.603354,1.8883335,pais,23,22,"Llamamos la atencion del público con la ocurrencia acaecida en el Instituto Espa | —La llegada de Spontini á Berlin ha sido notable por la dimision enviada por el  | Por estos tiempos en España teniamos célebres escuelas de música en las cuales s | En Cataluña, y provincias meridionales de la Francia, como el Rosellon, la Prove | Esta lengua célebre en la república literaria por mirarse como madre de la poesí",Angel Ruso; Cavallini; Dorus; Eduardo Ficher; Emilio Prudent; Enrique; Fanny; Gamarra; Gluck; Leopol; Marco Bordogni; Marcos Bordogni; Margherita; Mina Alevvyn; Mr. Dorus; Paganini; Pisaroni; Rubini; S. Gerónimo; S. M.; Señor Cáceres; Señor D. Ramon Cáceres; Spontini; Tamburini; conde de Redern
Roma,41.8933203,12.4829321,ciudad,21,21,"el rey de Sajonia. Hallándose por este tiempo vacante la plaza de maestro de cap | Sus largos servicios en la córte de Dresde, le dieron derecho á una pension de r | —El primero de noviembre último la academia de música de Roma conocida hace 258  | Son notables las palabras que acompañan á este nombramiento y muy honoríficas pa | Los romanos desde que pisaron el suelo de España y oyeron los suaves acentos de ",Antonio Poggi; Cornelio Balbo; Fioravanti ;; García; Gonzalez; Jacobo de Varagine; Jardin; Jomelli; L ' Arbore di Diana; M. Fetis; Malibran; Manuel Garcia; Martin; Martin ;; Martini; Metello; Meyerbeer; Murat; Olivieri; Paulina - GarciaViardot; Rossini; Señorita Dabedeilhe; Tachinardi; Turin; Villar; conde de Almaviva; padre Martini; señorita Dabe - deilhe
Berlín,52.5173885,13.3951309,ciudad,15,15,"—La llegada de Spontini á Berlin ha sido notable por la dimision enviada por el  | Esta grande representacion, en la que se cuentan por miles los artistas y aficio | BERLIN (25 de enero). La señora Saw despues de haber cantado con grande aplauso  | BERLIN (25 de enero). La señora Saw despues de haber cantado con grande aplauso  | Apesar de que los coristas alemanes de los teatros Favart y Ventadour, nos hayan",Bartoldy; Bernardo - Anselmo Weber; Clementi; Fischer; G. Romero L.; Joaquin Espin; Leopol; Liszt; Mariano Soriano Fuertes; Mendelsohn; Meyerbeer; Mozart; Mr. Mendelsohn; Orsino; Radichi; Ricci; S. M.; Spontini; Spontoni; Ungher; Vogler; Weber; Weitmuller; conde de Redern
Venecia,45.4046171,12.3105232,ciudad,14,14,"El ha dejado un número considerable de música vocal, entre las que se cuentan ve | Nulli (Basso) no se sabe si fué mayor el empeño que los artistas mostraron en lu | Algunos otros bailes escritos en Génova y Venecia, precedieron á la aparicion de | La señora Goggi hará su salida en la primera semana, con L' italiana in Algeri,  | A su vuelta de Paris, Antonio Poggi cantó sucesivamente en los grandes teatros d",Antonio Poggi; Coletti; Cristina de Rossini; Eduardo; Farinelli; Genaro; Goggi; Guglielmi; Henri Bertini; Lablache; Lucrezia; Malibran; Martin; Meyerbeer; Miral; Moriani; Nicolini; Nulli; Orsino; Paulina; Pavesi; Pisaroni; Rossini; Sra. Maric - Lalande; Tachinardi; Turin; Weber
Granada,37.176,-3.5973,ciudad,13,13,"*.* *.* La empresa lirica de Granada ha escriturado como prima donna assoluta á  | Un historiador árabe, afirma que en Granada se oian con admiracion cantadas, no  | *.* El Sr. D. José Miró, parte hoy domingo para Sevilla, Cádiz, et.: donde le es | Está anunciada para esta noche Una noche en Granada de Kreutz etc. | El señor Lutzer fué coronado de aplausos desde la primera nota del aria de salid",D. José Miró; Devezi; Garcia - Viardot; Garcia Viardot; Lutzer; Paulina Garcia; Unanue; Viardot; doña Concepcion Ridaura
Nápoles,40.8358846,14.2487679,ciudad,11,11,"La noche del 3 del corriente se ejecutó en el teatro de la Cruz esta ópera, (que | *.* * La joven y linda cantatriz española, la señorita Dabe-deilhe, que ha canta | A su vuelta de Paris, Antonio Poggi cantó sucesivamente en los grandes teatros d | Las principales óperas que ha escrito el inmortal Rossini espresamente para la C | Las principales óperas que ha escrito el inmortal Rossini espresamente para la C","Antonio Poggi; Anzani; Benedetti; Beneficiado; Cámara; David; David,; Donizzetti; García; Isabel Colbran; Malibran; Mirall; Mr. Baufflers; Murat; Nozzari; Paccini; Perelli; Pixis; Rossini; Serra; Señorita Dabedeilhe; Tachinardi; Unanue; señorita Dabe - deilhe"
Sevilla,37.3886303,-5.9953403,ciudad,11,10,"Ha sido nombrado vice-protector del conservatorio Nacional de música, el Excmo.  | En prueba de que la música tanto profana, como eclesiástica se cultivaba como ci | Alonso el sabio, no tan solamente fue gran jurisconsulto, geómetra y astrónomo,  | Unanue, cuya reputacion era bastante conocida de este público por los periódicos | José Miró nació en la ciudad de Cadiz el año de 1810: á los 4 años de edad pasó ",Alonso décimo; Andrevi; D. Antonio Ripa; D. Eugenio Gomez; D. José Aranalde; D. José Miró; D. Juan Almarcha; García; Gomez; José Miró; Manuel; Sr. Miró; Unanue; Vargas; Vicente; padre
Cataluña,41.8523094,1.5745043,region,11,10,"En Cataluña, y provincias meridionales de la Francia, como el Rosellon, la Prove | de la Curne Saint Pelaye en sus memorias de las academias de inscripciones y bue | Estos dos agradables ejercicios, comprendidos bajo el nombre de gaya ciencia, vi | Estos dos agradables ejercicios, comprendidos bajo el nombre de gaya ciencia, vi | Es innegable que en Cataluña se cultivaba la música y poesia tanto latina como e","Alanos; Alfonso I de Cataluña; D. Juan el Conquistador; Fr, P; Guido Aretino; II de Aragon; Mariano Rius; Pedro III; Pedro de Vreña; condes; san Gregorio el Magno"
Conservatorio (Madrid),40.4212,-3.6964,sala,10,8,"En los mismos almacenes se hallan las demas obras del espresado Saldoni, y su nu | El sábado 19 de marzo á las diez de la mañana, mas de tres mil personas se halla | Pero antes de entrar en cuestion, preguntariamos: ¿cuál ha sido el objeto que ha | Pero antes de entrar en cuestion, preguntariamos: ¿cuál ha sido el objeto que ha | El Conservatorio hace algunos años que no daba funcion alguna; las disposiciones",Arriaga; Saldoni
Teatro San Carlo (Nápoles),40.8333,14.2501,sala,10,10,"LISBOA. La ópera del maestro Coppola L' Ines de Castro, compuesta espresamente p | El maestro Saverio Mercadante acaba de dar á luz la ópera Il Proscritto, represe | * * * La Señora Perelli, esta jóven cuanto interesante prima-donna de nuestro te | Las principales óperas que ha escrito el inmortal Rossini espresamente para la C | Las principales óperas que ha escrito el inmortal Rossini espresamente para la C",Adelayde Perelli; Coppola; Giovanni Confortini; Lisbonés; Nicolai; Perelli; Rossini; Saverio Mercadante; Señora Perelli; Teresa Fascioti; Th. Dhöler; conde de Almaviva; señora Boccabadati; señorita Perelli
Milán,45.4641943,9.1896346,ciudad,9,9,"Cuando la señora Marietta Albini dejó la Es- --paña, se presentó en Milan con la | Posteriormente fue ejecutada en Milan (el 11 de setiembre de 1841) en el teatro  | * * Por la correspondencia particular recibida de Hamburgo, se anuncia el casami | Francisco Morlachi, Luis Mansard, Benedicto Neri, Feliz Blangini, Luis Savi, mae | El trio de minuet es un verdadero diamante. El Laudi spirituali, motivo del sigl",Abbadia; Albertazzi; Alejandro Rolla; Antonio Morini; Badiali; Beatrice di Tenda; Beethoven; Benedicto Neri; Cavallini; Donizetti; Elena da Feltre; Feliz Blangini; Ferlotti; Francisco Morlachi; Galvini; Gluck; Ines de Castro; L ' Elixir d ' Amore; La Straniera; Luis Mansard; Luis Savi; Marco Visconti; Maria Padilla; Marietta Albini; Meyerbeer; Rossini; Ruggieri; Sofia Loev; Turin; Vergé; Vicenzo
Liceo Artístico (Madrid),40.4168,-3.7035,sala,8,7,"Segun nos han dicho el célebre tenor á recojido una verdadera cosecha de flores  | Por último el Licéo de Madrid le ha tributado su homenage en nombre de los músic | El ilustre congreso académico de ciencias y artes en Arezzo nombró al célebre ma | El Liceo de Madrid fué el que proporcionó á esta culta poblacion el placer de oi | pudiera ver cuantas lágri- «mas van á enjugarse al eco solo de su voz, qui- «zá ",D. Juan Pacini; Juan Pacini; Paulina; Paulina Garcia - Viardot; Rubini
Florencia,43.7697955,11.2556404,ciudad,8,8,"prorrumpió por fin el amante de Margarita.—¿ Y como encuentro á mi querido Jacob | prorrumpió por fin el amante de Margarita.—¿ Y como encuentro á mi querido Jacob | En buen hora lastimarse del desterrado de Florencia, solitario vagando por los c | A su vuelta de Paris, Antonio Poggi cantó sucesivamente en los grandes teatros d | Antonio Poggi ha recibido las mas altas distinciones que nosotros podemos citar ",Antonio Poggi; Cervantes; Dante; Erminia; Frezzolini; Homero; Jacobo; Malibran; Manuel García; Marco Visconti; Margarita; Martolini; Morroschesi; Tachinardi; Virgilio
Valencia,39.4697065,-0.3763353,ciudad,8,8,"Vicente Martin, llamado por los italianos Martini ó el Spagnuolo, nació en Valen | Cada dia crecia mas su aficion por la música, y se decidió á no abandonarla, por | Operas nuevas Valencianas. | *.* El Sr. D. José Miró, parte hoy domingo para Sevilla, Cádiz, et.: donde le es | Este célebre compositor dramático, nació en Ateniente, pequeña villa del reino d",Basecout; D. José Miró; Gomis; Spagnuolo; Vicente Martin
Turín,45.0677551,7.6824892,ciudad,8,8,"Algunos otros bailes escritos en Génova y Venecia, precedieron á la aparicion de | A su vuelta de Paris, Antonio Poggi cantó sucesivamente en los grandes teatros d | El célebre Romani, de Turín, escribió hace muchos meses en la Gaceta del Piamont | Antonio Poggi ha recibido las mas altas distinciones que nosotros podemos citar  | * * Musard acaba de poner en movimiento á toda la diplomacia de la corte de Cerd",Antonio Poggi; Cárlos Alberto; Federico Barbaroja; Frezzolini; García; Guglielmi; Guillermo de Mascardio; I de Aragon; Malibran; Martin; Meyerbeer; Murat; Ramon Berenguer IV de Cataluña; Roman; Rossini; Tachinardi; Turin; conde de Provenza
Málaga,36.7647913,-4.4422005,ciudad,8,8,"* * * La Sra. Doña Antonia Campos de Martin ha partido para Málaga, donde ha sid | *.* De Málaga nos escriben que se esta formando un Liceo para lo cual la seccion | *.* El Sr. D. José Miró, parte hoy domingo para Sevilla, Cádiz, et.: donde le es | ∴ Nos escriben de Málaga que se ha ejecutado en aquel teatro la ópera del Barber | ∴ Nos escriben de Málaga que se ha ejecutado en aquel teatro la ópera del Barber",Balestraci; D. José Miró; Devezi; Doña Antonia Campos de Martin; Garcia - Viardot; García; Martin; Señores Lej; Spech
La Fenice (Venecia),45.4334,12.3317,sala,7,7,"Nulli (Basso) no se sabe si fué mayor el empeño que los artistas mostraron en lu | Este virtuoso, discípulo del conser-vatorio de Milan y sobrino de Rubini, posee  | A su vuelta de Paris, Antonio Poggi cantó sucesivamente en los grandes teatros d | La Semiramide, esta ópera escrita por Rossini en 1823 para el teatro la Fenice d | VENECIA. - Gran teatro da Fenice-Il Duca d' Alva, ópera nueva del maestro G. Pac",Amalia Zechini; Antonio Poggi; Baritono; Barozzi - Beltranni; Barozzi-Beltranni; Coletti; Coletto; Fachini; G. Paccini; Galver; Malibran; Mendelsolin; Milan; Miral; Monti; Moriani; Nulli; Paccini; Rossini; Rubini; Tachinardi
México D.F.,19.4326,-99.1332,ciudad,7,7,"62 LA IBERIA MUSICAL. --riquezas casi á las mismas puertas de Méjico: estos ladr | 62 LA IBERIA MUSICAL. --riquezas casi á las mismas puertas de Méjico: estos ladr | Bien pronto se consoló Garcia de esta catástrofe, pensando en los recursos que p | Traducida al aleman, inglés, italiano, holandés, ruso, polaco, y danés; ha sido  | El resultado de su empresa fué tal, que embriagado Garcia con sus triunfos, y mu",Garcia; García; García ;; Marcos Vega; Paulina; Roberto
Bruselas,50.8467372,4.352493,ciudad,6,6,"El Sr. Larrú, Constructor de pianos de esta capital, jóven de grandes esperanzas | —El primero de noviembre último la academia de música de Roma conocida hace 258  | BRUSELAS. La sociedad de armonia de Bruselas ha hecho construir una sala de conc | BRUSELAS. La sociedad de armonia de Bruselas ha hecho construir una sala de conc | El arte musical recibió un nuevo brillo con la aparicion de Paulina Garcia en la",Larrú; M. Fetis; Malibran; Maria; Maria Malibran; Paulina Garcia
Teatro alla Scala (Milán),45.4674,9.1892,sala,6,6,"Posteriormente fue ejecutada en Milan (el 11 de setiembre de 1841) en el teatro  | D' Alberti en los teatros de la Escala, y de Alejandria, de Bergamo y Regio que  | Francisco Morlachi, Luis Mansard, Benedicto Neri, Feliz Blangini, Luis Savi, mae | Labarre se distingue hoy dia en Europa no tan solo por su gran talento en el arp | MILAN 1.º de abril. En el teatro de la Escala se dará esta noche el Stabat de Ro",Abbadia; Alejandro Rolla; Antonio Morini; Benedicto Neri; D ' Alberti; Donizetti; Donzelli; Feliz Blangini; Ferlotti; Francisco Morlachi; Galvini; Giovanon de Anconi; Josefina Strepponi; Labarre; Luis Mansard; Luis Savi; Marietta Brambilla; Micciarelli; Micciarelli-Sbriscia; Ronconi; Ruggieri; Sbriscia
Bolonia,44.4938203,11.3426327,ciudad,6,6,"La Frezzolini, el bajo Ronconi y Antonio Poggi, uno de los de mayor nombradía, y | Los Juglares franceses se envilecieron hasta tal grado por sus canciones indecen | Isabel Colbran casó con Joaquin Rossini en Castenaso (Bolonia), el 15 de marzo d | Isabel Colbran es el orgullo de nuestra patria; española ilustre; cantante admir | Donizzeti que acaba de llegar á esta, y que habia dirigido la egecucion del mism",Antonio Poggi; Badiali; Brambilla; Donizzeti; Donzelli; Isabel Colbran; Joaquin Rossini; La Frezzolini; Moriani; Rey de Prusia; Ronconi; Sofia Loëve; Tadolini; archi
Reino Unido,54.7023545,-3.2765753,pais,6,6,"En Alemania, en Inglaterra, en Italia, donde el mis- --mo Rossini ha dirigido la | Garcia que ha transmitido á su hijo su método de canto ha sacado de él un escele | En Inglaterra cuento con amigos y favorecedores, y alli encontrareis asilo, lejo | Disgustado García del trato duro y asaz frio que se le daba por parte de la seño | Si vencemos, volvereis á mi compañía, ó nos iremos jun-tos á Viena á pasar el re",Bonaparte; Carolina; Garcia; García; Kulbech; Maria Malibran; Nelson; Paulina; Rossini
Théâtre-Italien (París),48.8706,2.3449,sala,5,5,"Por fin hemos tenido el gusto de que vuelva ha abrirse nuestro teatro, despues d | Posteriormente fue ejecutada en Milan (el 11 de setiembre de 1841) en el teatro  | LISBOA. La ópera del maestro Coppola L' Ines de Castro, compuesta espresamente p | *.* *.* Mañana lunes la cuarta representacion del Stabat Mater, de Rossini en el | *.* La partida de la Sra. Garcia-Viardot para España se ha retardado algunos dia",Abbadia; Cantatrice Villane; Coppola; Dormoy; Ferlotti; Forti; Garcia - Viardot; Halevy; Italia; Rossini; Ruggieri; Th. Dhöler; Thalberg; Thalverg; señora Boccabadati
Mónaco,43.7323492,7.4276832,ciudad,5,5,"Que hermosas son las cercanías de la ciudad de Monaco, contempladas al tibio res | — « ¿ Tú en Mónaco? | ¿Te han visto en Mónaco?—No, he llegado esta tarde, y enamorado de la hermosura  | Mozar volvió á tomar asiento junto al lecho de su amigo, esclamando: Dios mio, D | 64 LA IBERIA MUSICAL. --do los sonidos dulces y lejanos de un piano llegaron á s",Constan
Génova,44.40726,8.9338624,ciudad,5,5,"Algunos otros bailes escritos en Génova y Venecia, precedieron á la aparicion de | Un jóven de grandes esperanzas para el porvenir, perteneciente á una de las mejo | La muerte le ha arrebatado antes de tiempo, su vida no le pertenecia á él solo,  | Su madre todo lo ha abandonado por venir á reunirsele en Génova; la desgraciada  | A su vuelta de Paris, Antonio Poggi cantó sucesivamente en los grandes teatros d",Antonio Poggi; Cristófon; D. Manuel Maneyro; Guglielmi; M. Martinez; Malibran; Martin; Tachinardi
Córdoba,37.8845813,-4.7760138,ciudad,5,5,"De los reyes moros de Córdova se sabe que los mas de esta época se ejercitaban e | (1) El mas famoso fue Almotrolo hijo de Abnadalla 5.º rey de Córdova. --ria comp | (1) El mas famoso fue Almotrolo hijo de Abnadalla 5.º rey de Córdova. --ria comp | En prueba de que la música tanto profana, como eclesiástica se cultivaba como ci | Martin goza de buena y completa salud habiendo salido hace muy pocos dias para C",Abnadalla; Almotrolo hijo; Alonso décimo; Martin; Rocca
Santo Tomás (Madrid),40.4155,-3.708,sala,5,5,"*.* Se está ensayando una gran Misa de Requiem que debe ejecutarse el proximo 24 | *.* *.* La GRAN MISA DE REQUIEM del maestro compositor D. Ramon Carnicer ha sido | El jueves á las diez de la mañana los oficios, y á las cinco otras lamentaciones | *.* * El dia de la Encarnacion, tuvimos el gusto de admirar de nuevo el talento  | La obra misteriosa del compositor mas ilustre de los tiempos modernos, el Requie",Cagigal; Campos; Carnicer; D. Antonio Fernan; D. Ramon Carnicer; D. Roman Gimeno; Fueyo; Garcia Argudo; Mateo; Mozart; Oller; Perez; Regente del Reino; Reguer
Lisboa,38.7077507,-9.1365919,ciudad,5,5,"* * * La Señora Perelli, esta jóven cuanto interesante prima-donna de nuestro te | Hilarion Eslaba titulada La tregua de Tolomaida: los cantantes están entusiasmad | Mas el de Fernando el VI (reinado feliz para la España) fue donde brilló este ar | LISBOA 24 de mayo. Muy Sr. mio; considero á vd. impaciente por saber el resultad | LISBOA 9 de julio. La jóven interesante prima donna señorita Perelli obtiene may",Adelayde Perelli; Fernando el VI; Giovanni Confortini; Hilarion Es; Lisbonés; Nicolai; Perelli; Señora Perelli; Teran; Teresa Fascioti; reina Bárbara; señorita Perelli
Vallecas,40.3868601,-3.6591803,ciudad,5,5,"La junta directiva del mismo, ha determinado el establecimiento de las cátedras  | La propuesta para ser alumnos deberá ser firmada por tres socios, y ademas por e | Mañana lunes á las ocho de la noche, tendrá lugar la apertura del Museo lírico,  | El lunes último se verificó la inauguracion del Museo lírico, literario y artíst | *.* El martes último se celebró en el nuevo local de las Vallecas la sesion de c",Joaquin Espin; Miguel Agustin Príncipe; Paulina Garcia
Cádiz,36.5297438,-6.2928976,ciudad,5,5,"Unanue, cuya reputacion era bastante conocida de este público por los periódicos | José Miró nació en la ciudad de Cadiz el año de 1810: á los 4 años de edad pasó  | *.* El Sr. D. José Miró, parte hoy domingo para Sevilla, Cádiz, et.: donde le es | Su reputacion música se estendió al momento por todas partes, habiéndole llamado | tes eran de la mejor calidad que se puede oir; voz que manejaba García con un co",D. José Miró; García; José Miró; Unanue; Vargas; padre
Schönbrunn (Viena),48.1845,16.3122,sala,5,5,"En una noche sin luna, seguido de dos hombres, armados con carabinas, atravesaba | herido, cuando uno de los suizos montañeses, que por precaucion habian puesto de | — Señor? he visto estenderse por el camino de Scombrum como una faja negra, y ó  | —No lo presumo. La aldehuela de Scombrum no es un pueblo bastante rico para esci | Haydn oyó los quinientos cañonazos que disparaban sobre su querida ciudad, pues ",Schebroum; Scombrum
La Alhambra (Granada),37.176,-3.5881,sala,5,4,"El señor Lutzer fué coronado de aplausos desde la primera nota del aria de salid | Sesion estraordinaria del Liceo de Granada, verificada la noche del 28 de julio, | Los Sres Viardot manifestaron á la Comision su gratitud por el honor que el Lice | La brisa refrescaba tanto por los innumerables surtidores que derramaban el agua | La comision entregó al Sr. Viardot un ejemplar del periódico La Alhambra que pub",Garcia; Linares; Lutzer; Viardot
Teatro del Príncipe (Madrid),40.4143,-3.7012,sala,4,4,"*.* Entre las novedades que nos ha presentado el teatro de la Cruz en las pasada | --- * * * Se ha puesto en escena en el teatro del Principe á beneficio de la señ | En el número de instrumentistas estaban los individuos de las orquestas del teat | La creacion de Haydn, la sublime fantasía del inspirado músico, el canto mas sen",Haydn; Salas; don Celedonio; doña Toribia; señora Coronel
Burdeos,44.841225,-0.5800364,ciudad,4,4,"y en la actualidad obtiene el mismo empleo en la catedral de Burdeos, ha hecho e | En Burdeos ha sido Rubini el objeto de un acojimiento demasiado lisonjero para o | Cavallini ha recibido mil felicitaciones como instrumentista y compositor. TOLOS | En 1801 emprendió el viage á París acompañada de su padre cantando de tránsito e",Andrevi; Cavallini; Cherubini; Dorus; Lesueur; Mr. Dorus; Rubini
San Petersburgo,59.9606739,30.1586551,ciudad,4,4,"En 1788, partió para San Petesburgo donde fue nombrado director de la ópera: all | En 1801 la ópera francesa reemplazó á la italiana, y Martin perdió su empleo de  | Este jóven estraordinario hace el mas grande honor á su distinguido maestro Mr.  | (prorrumpia Haydn cruzando á largos pasos el aposento, y colocando sobre la mesa",Cinti; Damoreau; Damoreau-Cinti; Martin; Mr. Dorus; Pablo I
Países Bajos,52.2434979,5.6343227,pais,4,4,"Alejandro Batta; el príncipe le habia hecho añadir una suma de 500 francos por l | *.* *.* El Rey de Holanda acaba de regalar á M. Jaques Franco Mendes, una caja d | Federico Kalkbrenner, cuyos sabios consejos, el continuo roce de los mejores y m | (prorrumpia Haydn cruzando á largos pasos el aposento, y colocando sobre la mesa",Alejandro Batta; Federico Kalkbrenner; Laurent Batta; M. Jaques Franco Mendes; Teodoro Dolher
Barcelona,41.3825802,2.177073,ciudad,4,4,"Este hermoso arte juntamente con la poesia, se cultivaron no tan solamente por l | *.* El Sr. D. José Miró, parte hoy domingo para Sevilla, Cádiz, et.: donde le es | El nombre de nuestra capital del principado Barcelona, dimana de la Barca nona d | *** Nuestro corresponsal de Barcelona nos escribe haber muerto la señora Palazze",D. José Miró; Hércules; Manuel de Favia; Palazzessi; condes
Ámsterdam,52.3730796,4.8924534,ciudad,4,2,"El Instituto Español tiene bastantes pruebas de nuestro aprecio, mas nuestro pri | En el Haya, Amsterdam y otras varias capitales, ha recogido Miró un sin número d | Estas son de la academia música de Stocolmo, de la sociedad de Felis meritis de  | Villó que tantos laureles ha cogido últimamente en Amsterdan, podamos tributar h",Cristina Ramos; Cristina Ramos Villó
Teruel,40.6005259,-0.9229282,ciudad,4,4,"El entusiasmo filarmónico de esta villa, vá cada dia en aumento, tenemos dos ó t | Este maestro y compositor español nació en el pueblo de Cella partido de Teruel, | Este maestro y compositor español nació en el pueblo de Cella partido de Teruel, | Nombrado teniente capitan en los terc os de Teruel, defendió con valor la memora",Breton de los Herreros; D. Antonio Gomez; Teruel
Pésaro,43.9098114,12.9131228,ciudad,4,4,"El Stabat Mater del Cisne de Pésaro ha ocupado seriamente la atencion del mundo  | El efecto producido por la reunion de estos grandes artistas, fue muy distinto d | Rossini es el brujo mayor que se puede encontrar entre todos los brujos de su ca | La orquesta era de lo mejor que hemos oido en esta, pues todo profesor ha tenido",Donizetti; Marizápal; Rossini
Schwarzenberg (Viena),48.2002,16.3812,sala,4,4,"Dos damas de elegante porte y de distinguidos modales, seguian en voz baja esta  | —Señores soy portador de felices nuevas , les dijo. Los príncipes de Lobkowitz y | «El príncipe de Scwrartzemberg os persigue.... allí... allí... han reconocido qu | —Amigos mios, esclamó, al verse rodeada de Haydn y de la princesa de Swartemberg",
Accademia Filarmonica (Bolonia),44.4948,11.3427,sala,3,3,*.* Noches pasadas tuvimos el gusto de oir cantar á la señora Franceschini de Ro | El viernes se ha ejecutado en la Academia Filarmónica el Stabat Mater del célebr | Cuando en el año 1840 corria presurosa y entusiasmada la culta sociedad de esta ,Franceschini de Rosci; Ledesma; Rossini
Salamanca,40.9651572,-5.6640182,ciudad,3,3,"Alonso el Sabio fundó en la universidad de Salamanca una cátedra dotada como las | SALAMANCA. | Stabat Mater de Rossini.-Crónica musical: Stabat Mater de Saidoni, por Joaquin E",Alonso el Sabio; Joaquin Espin; M. Soriano Fuertes; condesa de Merlin
Opéra-Comique (París),48.8706,2.3472,sala,3,3,"PARIS. Mr. Flavio Puig (en España Lázaro,) ha hecho su primera salida el jueves  | Clapison, acaba de ponerse en escena en L' ópera Comique. *.* La instalacion de  | Apesar de que los coristas alemanes de los teatros Favart y Ventadour, nos hayan",Batton; Clapison; Duque de Coigny; Lázaro; M. Auber; Mr. Auber
Hungría,47.1817585,19.5060937,pais,3,3,"La señora condesa de Rossi (Enriqueta Sontang) que hace algun tiempo dejó la vid | Liszt dió un concierto en el salon de la universidad, costando la entrada dis gr | Si pisan ya los confines del Austria y de la Hungria, pronto llegarán sus caball",Carolina; Enrique; Enriqueta Sontang; Liszt; condesa de Rossi
Hamburgo,53.5501721,10.0013165,ciudad,3,2,"Todas las obras citadas, estan traducidas en Aleman y publicadas por Bonn, almac | * * Por la correspondencia particular recibida de Hamburgo, se anuncia el casami | La orquesta era de lo mejor que hemos oido en esta, pues todo profesor ha tenido",Donizetti; Maria Padilla; Martin; Sofia Loev
La Quinta de la Bella (Madrid),40.475,-3.717,sala,3,3,"Jacobo, le dijo Mozar, ¡cuánto habrás padecido!—El siciliano no le contestó sino | —Vos os acordais del sentimiento que os ha causado tan inesperado viaje, y el di | El sacerdote se apeó de él, y siguió á los labradores que conducian las andas. M",Jacobo; Mozar
La Habana,23.135305,-82.3589631,ciudad,3,3,"Un jóven de grandes esperanzas para el porvenir, perteneciente á una de las mejo | Traducida al aleman, inglés, italiano, holandés, ruso, polaco, y danés; ha sido  | *.* Annibali Statuti: Este artista apreciable, acaba de ser víctima del vómito n",Annibali Statuti; Cristófon; M. Martinez; Roberto
Santander,43.4618932,-3.8100255,ciudad,3,3,"El Andelsbat periódico que se publica en dicha capital, hace un larguísimo y bri | Las interrumpo aqui, reservándome continuarlas en otra ocasion. Santander 16 de  | Se ha hecho este artículo algo mas largo de lo que imaginé. Le cierro aquí, rese",Arturo
Murcia,37.9347521,-1.1131029,ciudad,3,3,"Los ejercicios de Soriano fueron sobresalientes, su censura el primer lugar, per | *.* * Tenemos á la vista una carta de Hellin (Murcia) que dice como sigue:—El mi | Como estas monjas tienen bajo su direccion un colegio donde se educan varias señ",Espin
