lugar,lat,lon,tipo,frecuencia,frecuencia_no_editorial,contextos,personas_asociadas
Oxford,51.7520131,-1.2578499,ciudad,1,1,"Estas son de la academia música de Stocolmo, de la sociedad de Felis meritis de ",
Montjuïc (Barcelona),41.3647625,2.154233,ciudad,1,1,"El nombre de nuestra capital del principado Barcelona, dimana de la Barca nona d",Hércules
Teatro Carlo Felice (Génova),44.4073,8.9339,sala,1,1,"La direccion de la academia musical, acordó por unanimidad en sesion celebrada e",Cayetano Donizetti; GENOVA; Rubini; Saverio Mercadante; Teodoro Döhler
El Prado (Madrid),40.4138,-3.6922,ciudad,1,1,Iban dos filarmónicos paseando por el Prado y llevaban esta conversacion—Conque ,
Siracusa,37.0315752,15.2124277,ciudad,1,1,De repente se presenta á la vista un magnífico salon con una mesa espléndida en ,Orsino; princesa Negroni
Orvieto,42.7186152,12.1087907,ciudad,1,1,"Erminia Poggi-Frezzolini nació en Orvieto (estados Romanos), en 1819. Su padre e",Erminia Poggi - Frezzolini; Erminia Poggi-Frezzolini; Nancini
Teatro Cocomero (Florencia),43.776,11.2549,sala,1,1,En el carnaval de 1837 y 1838 hizo su primer debut en el teatro Cocomero de Flor,Marco Visconti
Brescia,45.7795805,10.425873,ciudad,1,1,Durante el curso de tres años escasos cantó la Frezzolini en los teatros princip,Beatrice di Tenda; Elena da Feltre; Ines de Castro; L ' Elixir d ' Amore; La Straniera; Marco Visconti
Múnich,48.1371079,11.5753822,ciudad,1,1,El tiempo de la actividad artística era llegado para Meyerbeer; á los diez y och,
Bélgica,50.6402809,4.6667145,pais,1,1,Esta ópera ha sido traducida al idioma francés y egecutada con feliz éxito en Fr,Margherita; Pisaroni
Trieste,45.6496485,13.7772781,ciudad,1,1,"Despues de viajar muy corto tiempo por Alemania, Meyerbeer volvió á Italia para ",Lablache; Meyerbeer; Sra. Maric - Lalande; Weber
Nueva Orleans,29.9561422,-90.0733934,ciudad,1,1,"Traducida al aleman, inglés, italiano, holandés, ruso, polaco, y danés; ha sido ",Roberto
Leucadia (Grecia),38.7167,20.65,ciudad,1,1,"Saffo se presenta en el templo de Leucades, al acabarse de celebrar el casamient",Saffo
Teatro de los Caños del Peral (Madrid),40.4178,-3.7093,sala,1,1,"Entre las óperas de García que merecieron mas aceptacion, sobresale El poeta cal",García
Teatro Comunale (Bolonia),44.4949,11.3426,sala,1,1,"*.* La famosa cantatriz señora Sofia Loëve, prima cantante de la cámara del Rey ",Rey de Prusia; Sofia Loëve
Teatro Real (Madrid),40.4182,-3.7107,sala,1,1,"MILAN. Acaba de estrenarse en el teatro Real, el melodrama jocoso en dos actos d",Il Bravo; La Xacarilla; Marliani
Teatro de Pera (Constantinopla),41.0338,28.9789,sala,1,1,CONSTANTINOPLA. (teatro de Pera). - Elisa y Claudio. - Facilmente se deja conoce,Claudio
América,10.0,-80.0,region,1,1,"La compañía de ópera que se proponia hacer oir en la América septentrional, se c",Angrisani; Barbiery; Crivelli; García; Manuel García; Maria; de Rosich
Veracruz,19.333333,-96.666667,ciudad,1,1,"A los diez y ocho meses de estancia en Méjico, tuvo deseos de volverse á Europa,",
Théâtre du Gymnase (París),48.8721,2.3481,sala,1,1,"Jony, no representada: 39, La Mouniere, en un acto, representada en el teatro de",
La Granja de San Ildefonso,40.8985,-4.0127,ciudad,1,1,"-«Dejadme solo, gritó el príncipe, con voz destemplada á sus atónitos soldados; ",Carolina
